"title"	"year"	"length"	"budget"	"rating"	"votes"	"r1"	"r2"	"r3"	"r4"	"r5"	"r6"	"r7"	"r8"	"r9"	"r10"	"mpaa"	"Action"	"Animation"	"Comedy"	"Drama"	"Documentary"	"Romance"	"Short"
"Jeans e una maglietta, Un"	1983	81	NA	5.8	6	34.5	0	0	0	14.5	0	0	14.5	0	34.5	""	0	0	0	0	0	0	0
"Big Trail, The"	1930	120	NA	6.7	355	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	14.5	""	0	0	0	0	0	1	0
"Regi Andrej Tarkovskij"	1988	97	NA	7.7	74	4.5	0	0	4.5	4.5	4.5	14.5	24.5	14.5	34.5	""	0	0	0	0	1	0	0
"Legion of the Night"	1995	85	80000	4	27	24.5	4.5	14.5	4.5	14.5	4.5	0	4.5	4.5	24.5	""	1	0	0	0	0	0	0
"Dust"	1985	96	NA	5.7	49	14.5	14.5	4.5	4.5	14.5	14.5	14.5	14.5	14.5	4.5	""	0	0	0	1	0	0	0
"Motives"	2004	87	NA	4.5	135	14.5	4.5	4.5	14.5	14.5	14.5	4.5	4.5	4.5	14.5	"R"	0	0	0	1	0	0	0
"Mes nuits sont plus belles que vos jours"	1989	86	NA	5.7	144	4.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	4.5	24.5	""	0	0	0	1	0	1	0
"Honeymoon"	1997	93	NA	5.2	11	0	0	0	0	34.5	4.5	4.5	0	24.5	14.5	""	0	0	1	1	0	1	0
"Nation Aflame"	1937	74	NA	5.9	5	0	0	0	0	24.5	84.5	0	0	0	0	""	0	0	0	1	0	0	0
"She's Out of Control"	1989	90	NA	4.8	661	4.5	4.5	4.5	14.5	24.5	14.5	14.5	4.5	4.5	4.5	""	0	0	1	0	0	0	0
"Stand Up and Cheer!"	1934	80	NA	5.3	57	4.5	4.5	4.5	14.5	14.5	14.5	14.5	4.5	4.5	14.5	""	0	0	1	0	0	0	0
"Tipo con una faccia strana ti cerca per ucciderti, Un"	1973	89	NA	5.9	22	4.5	0	4.5	4.5	4.5	24.5	24.5	14.5	4.5	4.5	""	1	0	0	1	0	0	0
"Green Monkey"	1998	10	NA	5.1	15	4.5	4.5	4.5	0	14.5	24.5	24.5	14.5	4.5	4.5	""	0	0	0	0	0	0	1
"Kammerflimmern"	2004	100	NA	7.3	70	4.5	4.5	0	4.5	4.5	4.5	24.5	24.5	24.5	14.5	""	0	0	0	1	0	1	0
"Emmanuelle"	1974	95	NA	4.7	1296	4.5	4.5	4.5	14.5	14.5	14.5	14.5	4.5	4.5	4.5	""	0	0	0	1	0	0	0
"Strangers with Candy"	2005	97	NA	6.6	53	4.5	4.5	4.5	4.5	4.5	0	4.5	4.5	14.5	64.5	""	0	0	1	0	0	0	0
"Shotgun Wedding"	1963	64	NA	1.4	10	74.5	0	0	0	0	0	0	0	0	34.5	""	0	0	1	0	0	0	0
"If Lucy Fell"	1996	93	NA	5	1053	14.5	4.5	4.5	4.5	14.5	14.5	14.5	4.5	4.5	4.5	"R"	0	0	1	0	0	1	0
"Zhong hua ying xiong"	1999	115	NA	5.6	364	4.5	4.5	4.5	4.5	14.5	14.5	14.5	14.5	4.5	14.5	"R"	1	0	0	1	0	0	0
"Relentless"	1948	93	NA	6.4	17	0	0	0	4.5	14.5	14.5	24.5	14.5	14.5	14.5	""	0	0	0	0	0	0	0
"Gun Drill by Naval Cadets at Newport Training School"	1900	1	NA	2.6	5	0	44.5	44.5	0	0	24.5	0	0	0	0	""	0	0	0	0	1	0	1
"Thetford au milieu de notre vie"	1980	84	NA	3.9	30	0	0	45.5	0	44.5	0	0	0	0	4.5	""	0	0	0	0	0	0	0
"Patota, La"	1960	88	NA	6.8	7	0	0	0	0	0	24.5	14.5	24.5	24.5	0	""	0	0	0	0	0	0	0
"Santo en el museo de cera"	1963	92	NA	4.7	45	4.5	4.5	14.5	4.5	14.5	24.5	14.5	4.5	4.5	14.5	""	0	0	0	0	0	0	0
"Big Monster on Campus"	2000	92	NA	4	131	14.5	4.5	4.5	14.5	14.5	14.5	14.5	4.5	4.5	14.5	""	0	0	1	0	0	0	0
"Tuhog"	2001	105	NA	7.6	7	0	0	14.5	0	14.5	0	14.5	14.5	0	44.5	""	0	0	0	1	0	0	0
"Pornographer, The"	1994	93	NA	2.6	22	14.5	14.5	14.5	0	4.5	0	4.5	14.5	0	24.5	""	0	0	0	0	0	0	0
"Jeepers Creepers II"	2003	104	25000000	5.2	4069	4.5	4.5	4.5	14.5	14.5	24.5	14.5	4.5	4.5	4.5	"R"	0	0	0	0	0	0	0
"Barbarosa"	1982	90	NA	6.3	293	4.5	4.5	4.5	4.5	14.5	14.5	24.5	14.5	4.5	14.5	""	0	0	0	0	0	0	0
"Vesna na Zarechnoy ulitse"	1956	96	NA	6.7	23	0	0	0	0	14.5	14.5	14.5	4.5	4.5	34.5	""	0	0	0	0	0	1	0
"Protector, The"	1999	89	NA	4.9	29	4.5	0	4.5	24.5	24.5	14.5	4.5	14.5	4.5	4.5	""	1	0	0	0	0	0	0
"Medusa"	1997	80	NA	5.1	9	0	14.5	0	14.5	14.5	14.5	14.5	24.5	14.5	14.5	""	0	0	0	0	0	0	0
"Island, The"	1998	95	NA	5.2	8	0	14.5	34.5	14.5	0	0	14.5	0	0	24.5	""	0	0	1	0	0	0	0
"Raiders of the Lost Ark"	1981	115	20000000	8.7	93511	4.5	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	34.5	""	1	0	0	0	0	0	0
"Last Days of Disco, The"	1998	113	NA	6.3	2633	4.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	4.5	4.5	"R"	0	0	1	1	0	0	0
"Island in the Sky"	1953	109	967000	5.5	100	4.5	4.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	44.5	""	0	0	0	1	0	0	0
"Survivalist, The"	1987	93	NA	4.5	25	24.5	24.5	14.5	0	14.5	0	0	0	14.5	14.5	""	1	0	0	1	0	0	0
"Alias Billy the Kid"	1946	56	NA	6.7	12	0	0	0	0	14.5	4.5	14.5	24.5	4.5	24.5	""	0	0	0	0	0	0	0
"East of Eden"	1955	115	NA	7.8	3802	4.5	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	24.5	"PG"	0	0	0	1	0	0	0
"Gam yin ji"	1988	93	NA	6.5	10	0	14.5	0	14.5	0	24.5	44.5	14.5	14.5	0	""	0	0	0	0	0	0	0
"Shop Look & Listen"	1940	8	NA	7.9	14	0	0	0	0	0	4.5	44.5	24.5	24.5	0	""	0	1	1	0	0	0	1
"Blue Montana Skies"	1939	56	NA	5.8	7	0	14.5	0	14.5	24.5	0	0	0	24.5	14.5	""	0	0	0	0	0	0	0
"Look Back in Anger"	1980	100	NA	6.4	20	0	0	4.5	14.5	14.5	4.5	24.5	34.5	14.5	4.5	""	0	0	0	1	0	0	0
"Olsenbandens siste bedrifter"	1975	91	NA	5.2	72	4.5	4.5	14.5	14.5	14.5	14.5	4.5	4.5	4.5	24.5	""	0	0	1	0	0	0	0
"Voces inocentes"	2004	120	NA	8.2	201	4.5	4.5	4.5	0	4.5	4.5	4.5	14.5	14.5	45.5	""	0	0	0	1	0	0	0
"Wu jian dao 2"	2003	119	NA	7.3	939	4.5	4.5	4.5	4.5	4.5	4.5	24.5	24.5	14.5	14.5	""	1	0	0	1	0	0	0
"Bug Off!"	2001	84	NA	3.2	37	14.5	4.5	14.5	14.5	4.5	4.5	4.5	14.5	4.5	14.5	"PG"	0	0	1	0	0	0	0
"Careful What You Wish For"	2004	7	NA	5.8	79	4.5	4.5	4.5	14.5	4.5	14.5	24.5	14.5	4.5	14.5	""	0	0	1	0	0	0	1
"Shot and Bothered"	1966	6	NA	4.2	13	4.5	4.5	24.5	14.5	4.5	34.5	4.5	0	0	0	""	0	1	1	0	0	0	1
"Touch Base"	1994	19	NA	7.1	27	4.5	0	4.5	4.5	4.5	14.5	24.5	24.5	14.5	14.5	""	0	0	0	0	0	0	1
"Postel"	1998	90	NA	4.9	9	0	24.5	0	0	0	24.5	14.5	14.5	24.5	14.5	""	0	0	0	0	0	0	0
"Bravo Two Zero"	1999	115	6500000	6.5	578	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	"R"	0	0	0	0	0	0	0
"Night and the City"	1992	105	NA	5.7	798	4.5	4.5	4.5	4.5	14.5	34.5	14.5	4.5	4.5	4.5	"R"	0	0	0	1	0	0	0
"Trick or Treat"	1986	98	NA	4.7	508	4.5	4.5	4.5	4.5	14.5	14.5	14.5	4.5	4.5	24.5	""	0	0	0	0	0	0	0
"Secrets of a Windmill Girl"	1966	86	NA	5.3	6	14.5	0	0	0	34.5	14.5	14.5	14.5	0	0	""	0	0	0	0	0	0	0
"Lune de miel"	1985	98	NA	3.1	15	24.5	14.5	24.5	0	4.5	4.5	4.5	0	14.5	4.5	""	0	0	0	0	0	0	0
"Unborn"	2002	8	NA	9.3	6	0	0	0	0	0	0	0	14.5	34.5	45.5	""	0	0	0	1	0	0	1
"Madame Butterfly"	1995	134	NA	7.2	101	0	4.5	0	4.5	4.5	14.5	4.5	24.5	24.5	24.5	""	0	0	0	0	0	0	0
"Mistress of the Apes"	1979	84	NA	2.5	30	34.5	14.5	4.5	4.5	4.5	14.5	0	0	4.5	14.5	""	0	0	0	0	0	0	0
"To Die For"	1989	94	NA	5	94	4.5	4.5	4.5	4.5	14.5	14.5	14.5	4.5	4.5	14.5	""	0	0	0	0	0	1	0
"Sinkhole"	2003	90	NA	8	6	14.5	0	0	0	0	0	0	14.5	14.5	45.5	""	0	0	0	0	0	0	0
"Lunga notte del '43, La"	1960	110	NA	7.9	23	0	0	0	0	0	14.5	14.5	14.5	14.5	44.5	""	0	0	0	1	0	0	0
"Godass"	2000	73	NA	4.6	22	4.5	14.5	4.5	4.5	14.5	14.5	14.5	0	14.5	4.5	""	0	0	0	1	0	0	0
"Money Talks"	1997	97	25000000	5.5	2720	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	"R"	1	0	1	0	0	0	0
"Veruschka"	1971	92	NA	4.3	6	0	14.5	0	34.5	0	0	0	34.5	0	14.5	""	0	0	0	1	0	0	0
"Eko eko azaraku"	1995	80	NA	5.4	107	4.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	4.5	14.5	""	0	0	0	0	0	0	0
"Young Guns"	1988	102	13000000	6.4	8104	4.5	4.5	4.5	4.5	14.5	14.5	24.5	14.5	4.5	4.5	""	1	0	0	1	0	0	0
"Espanto surge de la tumba, El"	1973	88	NA	4.1	120	4.5	14.5	14.5	4.5	14.5	14.5	14.5	14.5	4.5	4.5	""	0	0	0	0	0	0	0
"Fear Chamber, The"	1968	88	NA	3.2	35	24.5	14.5	4.5	14.5	4.5	0	14.5	4.5	4.5	0	""	0	0	0	0	0	0	0
"Bacheha-Ye aseman"	1997	89	180000	7.6	1499	4.5	4.5	4.5	4.5	4.5	4.5	4.5	24.5	24.5	34.5	""	0	0	1	1	0	0	0
"Tabu"	1988	105	NA	3.8	8	14.5	14.5	0	0	14.5	24.5	14.5	0	0	24.5	""	0	0	0	0	0	0	0
"Dover Boys at Pimento University or The Rivals of Roquefort Hall, The"	1942	9	NA	7.7	78	0	0	0	4.5	4.5	4.5	14.5	24.5	14.5	34.5	""	0	1	1	0	0	0	1
"Waterfront"	1939	59	NA	5.9	17	4.5	0	0	0	24.5	24.5	4.5	24.5	14.5	0	""	0	0	0	1	0	0	0
"Holiday Affair"	1949	87	NA	6.5	218	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	14.5	""	0	0	1	0	0	1	0
"Prettykill"	1987	94	NA	2.3	25	24.5	24.5	14.5	14.5	0	4.5	0	4.5	4.5	4.5	""	0	0	0	1	0	0	0
"Bride of Resistor"	1997	6	NA	7.1	49	0	0	4.5	4.5	4.5	24.5	14.5	44.5	4.5	4.5	""	0	1	0	0	0	0	1
"We the People"	1994	90	NA	5.4	15	24.5	4.5	0	4.5	4.5	4.5	14.5	14.5	0	24.5	""	0	0	0	1	0	0	0
"Final Rinse"	1999	92	NA	3.1	19	14.5	14.5	24.5	0	0	4.5	14.5	0	14.5	24.5	""	0	0	0	0	0	0	0
"Sissi - Die junge Kaiserin"	1956	118	NA	6.2	402	4.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	4.5	14.5	""	0	0	0	1	0	1	0
"Below Zero"	1930	30	NA	7.2	163	4.5	4.5	4.5	4.5	4.5	14.5	34.5	24.5	4.5	14.5	""	0	0	1	0	0	0	1
"His First Flame"	1927	48	NA	5.8	6	0	0	14.5	0	14.5	14.5	14.5	34.5	0	0	""	0	0	1	0	0	0	0
"Petty Girl, The"	1950	88	NA	5.8	31	0	0	4.5	4.5	14.5	14.5	14.5	24.5	4.5	14.5	""	0	0	1	0	0	0	0
"Now Chinatown"	2000	112	NA	6.3	41	14.5	4.5	4.5	0	4.5	4.5	4.5	4.5	4.5	45.5	""	0	0	0	1	0	1	0
"White Star"	1983	92	100000	4	26	24.5	14.5	4.5	14.5	4.5	4.5	14.5	4.5	0	4.5	""	0	0	0	1	0	0	0
"Flirting Widow, The"	1930	72	NA	5.5	29	4.5	14.5	4.5	14.5	4.5	14.5	24.5	14.5	4.5	14.5	""	0	0	1	0	0	1	0
"Renaldo and Clara"	1978	235	NA	4.6	143	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	45.5	""	0	0	0	1	0	0	0
"Wind River"	1998	97	5500000	5.4	97	14.5	4.5	0	4.5	14.5	4.5	14.5	4.5	4.5	34.5	"PG-13"	0	0	0	1	0	0	0
"Barroco"	1989	115	NA	5.5	19	4.5	4.5	4.5	4.5	4.5	14.5	0	14.5	24.5	24.5	""	0	0	0	0	0	0	0
"Shatranje bad"	1976	90	NA	8.5	6	0	0	0	0	14.5	0	0	0	64.5	14.5	""	0	0	0	0	0	0	0
"Camels Are Coming, The"	1934	79	NA	3.7	11	14.5	4.5	4.5	0	0	4.5	4.5	4.5	4.5	24.5	""	0	0	0	0	0	0	0
"Al Qods Fee Yom Akhar"	2002	90	NA	6.6	79	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	14.5	4.5	""	0	0	1	1	0	0	0
"Mrs. Pollifax -- Spy"	1971	110	NA	4.7	32	0	4.5	4.5	14.5	14.5	14.5	4.5	4.5	4.5	34.5	""	0	0	1	0	0	0	0
"Looosers!"	1995	86	NA	7.8	25	4.5	0	0	14.5	4.5	4.5	4.5	4.5	4.5	44.5	""	0	0	0	0	0	0	0
"Lola se va a los puertos, La"	1993	105	NA	5.8	6	34.5	0	14.5	0	0	34.5	14.5	0	0	0	""	0	0	0	1	0	0	0
"Blues za Saro"	1998	96	NA	4.8	6	0	0	0	14.5	14.5	14.5	14.5	0	14.5	14.5	""	0	0	1	1	0	0	0
"Come on Danger!"	1932	54	NA	5.4	13	0	4.5	0	4.5	4.5	64.5	14.5	0	0	0	""	0	0	0	1	0	0	0
"I Am a Fugitive from a Chain Gang"	1932	93	195845	8.1	1198	4.5	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	24.5	""	0	0	0	1	0	0	0
"Mort en fuite, Le"	1936	85	NA	7	9	0	0	0	0	0	34.5	44.5	14.5	14.5	0	""	0	0	0	0	0	0	0
"Conquest of the Planet of the Apes"	1972	88	1700000	5.5	2255	4.5	4.5	4.5	14.5	14.5	24.5	14.5	4.5	4.5	4.5	""	1	0	0	0	0	0	0
"Fidel"	2001	91	NA	7.7	85	4.5	4.5	0	4.5	4.5	4.5	24.5	24.5	14.5	24.5	""	0	0	0	0	1	0	0
"Tenshi no harawata: Akai inga"	1981	67	NA	4.1	8	14.5	0	0	14.5	14.5	0	14.5	24.5	14.5	14.5	""	0	0	0	1	0	0	0
"18-j"	2004	100	NA	8.5	26	4.5	4.5	0	4.5	0	4.5	0	14.5	14.5	45.5	""	0	0	0	1	1	0	0
"Land des Schweigens und der Dunkelheit"	1971	85	NA	8	52	0	0	0	4.5	4.5	4.5	4.5	24.5	14.5	34.5	""	0	0	0	0	1	0	0
"If On a Winter's Night"	1999	13	NA	4.6	16	4.5	14.5	0	4.5	14.5	14.5	4.5	4.5	14.5	14.5	""	0	0	0	0	0	0	1
"Live It Up"	1963	75	NA	4.6	8	0	0	0	14.5	0	14.5	14.5	24.5	14.5	24.5	""	0	0	1	0	0	0	0
"Ted"	1998	85	NA	8.4	5	0	0	0	0	24.5	0	0	24.5	24.5	44.5	""	0	0	1	0	0	0	0
"Wrestling at the New York Athletic Club"	1905	4	NA	5.2	7	0	0	14.5	0	24.5	24.5	0	24.5	0	0	""	0	0	0	0	0	0	1
"Strange Triangle"	1946	65	NA	8.6	10	0	14.5	0	0	24.5	0	24.5	24.5	14.5	24.5	""	0	0	0	0	0	0	0
"Crocodile Hunter: Collision Course, The"	2002	90	13000000	5.3	1648	4.5	4.5	4.5	4.5	14.5	24.5	14.5	4.5	4.5	4.5	"PG"	0	0	1	0	0	0	0
"Schizopolis"	1996	96	250000	7	917	4.5	4.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	24.5	""	0	0	1	0	0	0	0
"Faut-il aimer Mathilde?"	1993	94	NA	7.6	8	0	14.5	0	0	0	14.5	64.5	0	14.5	0	""	0	0	0	0	0	0	0
"Destination Gobi"	1953	90	NA	6.5	71	0	4.5	4.5	4.5	4.5	14.5	24.5	14.5	4.5	14.5	""	0	0	0	1	0	0	0
"Working Man, The"	1933	78	199000	7.7	110	4.5	0	0	4.5	4.5	4.5	14.5	4.5	24.5	64.5	""	0	0	1	1	0	0	0
"Taza, Son of Cochise"	1954	79	NA	5.3	52	4.5	0	4.5	4.5	24.5	34.5	4.5	4.5	4.5	4.5	""	1	0	0	1	0	1	0
"Arctic Flight"	1952	78	NA	6.1	7	0	0	0	0	14.5	44.5	14.5	14.5	0	14.5	""	0	0	0	1	0	0	0
"Student Confidential"	1987	99	NA	1.9	23	34.5	4.5	4.5	0	0	4.5	4.5	14.5	4.5	14.5	""	0	0	0	1	0	0	0
"Rey del barrio, El"	1950	100	NA	8.8	38	0	0	0	4.5	0	4.5	4.5	4.5	14.5	64.5	""	0	0	1	0	0	0	0
"Acto de Primavera"	1963	94	NA	5.1	17	0	14.5	4.5	14.5	0	4.5	4.5	24.5	14.5	14.5	""	0	0	0	1	0	0	0
"Butch Camp"	1996	101	NA	5.2	84	14.5	4.5	4.5	4.5	14.5	14.5	4.5	14.5	14.5	14.5	""	0	0	1	0	0	0	0
"Foul Play"	1978	116	NA	6.6	2280	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	4.5	14.5	""	0	0	1	0	0	0	0
"Sinners in the Sun"	1932	70	NA	6.4	15	0	0	0	4.5	24.5	24.5	24.5	14.5	4.5	4.5	""	0	0	0	0	0	0	0
"Deceptions II: Edge of Deception"	1995	100	NA	3.5	39	14.5	4.5	4.5	14.5	14.5	14.5	4.5	4.5	14.5	4.5	""	0	0	0	1	0	0	0
"Vajont - La diga del disonore"	2001	116	NA	6.5	173	4.5	4.5	4.5	4.5	4.5	14.5	34.5	24.5	4.5	4.5	""	0	0	0	1	0	0	0
"Pierwszy milion"	2000	96	NA	6.1	16	0	0	14.5	0	14.5	24.5	14.5	14.5	4.5	4.5	""	0	0	0	0	0	0	0
"Loose Loot"	1953	16	NA	7.8	32	0	0	0	0	0	4.5	24.5	24.5	14.5	34.5	""	0	0	1	0	0	0	1
"Perros de Pavlov, Los"	2003	14	NA	7.7	6	14.5	0	0	14.5	0	0	14.5	34.5	14.5	0	""	0	0	0	1	0	0	1
"Amor - primera parte, El"	2004	110	NA	6.1	20	0	0	0	0	14.5	14.5	14.5	24.5	14.5	34.5	""	0	0	0	0	0	0	0
"Manifesto"	1988	96	NA	6.1	90	4.5	4.5	4.5	4.5	14.5	14.5	14.5	14.5	14.5	14.5	""	0	0	1	1	0	1	0
"Familia"	1996	102	NA	7.3	238	4.5	4.5	4.5	4.5	4.5	4.5	14.5	34.5	14.5	14.5	""	0	0	1	1	0	0	0
"Ultimo tango a Zagarol"	1973	100	NA	6	21	4.5	0	0	4.5	4.5	14.5	14.5	14.5	4.5	24.5	""	0	0	1	0	0	0	0
"Marie-Louise"	1944	93	NA	7.9	8	0	0	0	0	0	0	14.5	34.5	34.5	14.5	""	0	0	0	1	0	0	0
"Sungnyangpali sonyeoui jaerim"	2002	123	NA	5.9	340	4.5	4.5	4.5	4.5	14.5	14.5	14.5	14.5	4.5	14.5	""	1	0	1	0	0	0	0
"Girl Chewing Gum, The"	1976	12	NA	7.2	26	0	0	0	0	14.5	4.5	14.5	34.5	14.5	4.5	""	0	0	0	0	0	0	1
"Ju-on 2"	2000	76	NA	5.9	201	4.5	4.5	4.5	4.5	14.5	24.5	14.5	14.5	4.5	4.5	""	0	0	0	0	0	0	0
"Taureau"	1973	98	NA	7.2	7	0	0	0	14.5	14.5	14.5	24.5	24.5	0	0	""	0	0	0	1	0	0	0
"Allure"	1999	19	NA	6.4	15	0	0	4.5	4.5	14.5	24.5	14.5	14.5	24.5	4.5	""	0	0	0	0	0	0	1
"Malpractice"	2001	90	NA	5.3	58	4.5	0	4.5	24.5	14.5	14.5	4.5	14.5	4.5	4.5	""	0	0	0	1	0	0	0
"Racconti romani"	1955	110	NA	4.1	10	0	24.5	0	14.5	24.5	24.5	14.5	14.5	0	14.5	""	0	0	1	0	0	0	0
"Fahrerflucht"	2003	12	NA	6.2	12	14.5	0	0	0	4.5	34.5	0	14.5	0	24.5	""	0	0	0	0	0	1	1
"Anonymous"	1993	71	NA	7.5	7	14.5	0	0	0	14.5	14.5	0	0	0	45.5	""	0	0	0	0	0	0	0
"King for a Day"	1940	7	NA	5.5	10	0	0	0	0	34.5	24.5	44.5	14.5	0	0	""	0	1	1	0	0	0	1
"Catching an Early Train"	1901	1	NA	4.1	9	0	0	14.5	34.5	34.5	0	0	14.5	0	14.5	""	0	0	1	0	0	0	1
"Dinosaur Hunter, The"	2000	91	NA	5.8	33	4.5	4.5	4.5	4.5	14.5	0	24.5	4.5	14.5	24.5	""	0	0	0	1	0	0	0
"Decaf"	1996	100	NA	5.8	5	0	0	24.5	24.5	0	0	44.5	24.5	0	0	""	0	0	1	0	0	1	0
"Life with Big Cats"	2000	53	NA	8.8	8	14.5	0	0	0	0	0	0	0	14.5	74.5	""	0	0	0	0	1	0	0
"Parapluies de Cherbourg, Les"	1964	87	NA	7.8	2268	4.5	4.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	34.5	""	0	0	0	1	0	1	0
"Mauvais sang"	1986	105	NA	7	538	4.5	4.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	34.5	""	0	0	0	1	0	1	0
"Convoyeur, Le"	2004	95	NA	6.6	175	4.5	4.5	4.5	4.5	14.5	24.5	34.5	14.5	4.5	4.5	""	1	0	0	1	0	0	0
"Swimming to Cambodia"	1987	85	NA	7.5	508	4.5	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	24.5	""	0	0	0	1	0	0	0
"Resident Evil"	2002	100	35000000	6.2	18978	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	4.5	14.5	"R"	1	0	0	0	0	0	0
"Over the Wall"	1938	67	NA	4.4	9	0	0	14.5	34.5	44.5	14.5	0	0	0	0	""	0	0	0	1	0	0	0
"Ti 30..., ti 40..., ti 50..."	1972	98	NA	6.7	16	4.5	0	0	0	14.5	14.5	14.5	14.5	0	34.5	""	0	0	1	0	0	0	0
"Part des lions, La"	1971	90	NA	8.2	5	0	0	0	0	0	0	24.5	64.5	0	24.5	""	0	0	0	0	0	0	0
